,time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,pace_min_per_km,is_walk,heart_rate,latitude,lat_prev,longitude,lon_prev,distance_cumulative_km,distance_segment_m,time_prev,time_delta_s
0,2025-05-10 20:37:16+00:00,34.606931,-98.425826,342.1,96,0,,0.0,0.0,1.425535348564499,1.4255353324072768,701.4908476362868,11.6915375102997,True,96,34.606931,,-98.425826,,0.0,0.0,,
1,2025-05-10 20:37:17+00:00,34.606942,-98.425818,342.1,95,80,,1.0,1.425535348564499,1.425535348564499,1.425535311707271,701.4908476362868,11.6915375102997,True,95,34.606942,34.606931,-98.425818,-98.425826,0.001425535348564499,1.425535348564499,2025-05-10 20:37:16+00:00,1.0
2,2025-05-10 20:37:18+00:00,34.606953,-98.42581,342.1,92,80,,1.0,1.4255353000928328,1.4255353000928328,1.4364612629133977,701.4908714886813,11.691537907840402,True,92,34.606953,34.606942,-98.42581,-98.425818,0.0028510706486573317,1.4255353000928328,2025-05-10 20:37:17+00:00,1.0
3,2025-05-10 20:37:19+00:00,34.606964,-98.425802,342.1,93,80,,1.0,1.4255352496072535,1.4255352496072535,1.4364612221535518,701.4908963321027,11.691538321898255,True,93,34.606964,34.606953,-98.425802,-98.42581,0.004276605898264585,1.4255352496072535,2025-05-10 20:37:18+00:00,1.0
4,2025-05-10 20:37:20+00:00,34.606976,-98.425795,342.1,93,80,,1.0,1.4801650677379032,1.4801650677379032,1.4364611715657665,675.6003244477815,11.26002792747384,True,93,34.606976,34.606964,-98.425795,-98.425802,0.0057567709660024885,1.4801650677379032,2025-05-10 20:37:19+00:00,1.0
5,2025-05-10 20:37:21+00:00,34.606987,-98.425787,342.1,93,80,,1.0,1.4255351447652702,1.4255351447652702,1.4364611208423888,701.4909479237433,11.691539181760652,True,93,34.606987,34.606976,-98.425787,-98.425795,0.007182306110767758,1.4255351447652702,2025-05-10 20:37:20+00:00,1.0
6,2025-05-10 20:37:22+00:00,34.606998,-98.425779,342.1,94,82,,1.0,1.4255350956255723,1.4255350956255723,1.4364610701190024,701.4909721048759,11.691539584780335,True,94,34.606998,34.606987,-98.425779,-98.425787,0.008607841206393331,1.4255350956255723,2025-05-10 20:37:21+00:00,1.0
7,2025-05-10 20:37:23+00:00,34.607009,-98.425771,342.1,95,82,,1.0,1.425535046475945,1.425535046475945,1.7448749284498728,701.4909962908964,11.691539987881482,True,95,34.607009,34.606998,-98.425771,-98.425779,0.010033376252869276,1.425535046475945,2025-05-10 20:37:22+00:00,1.0
8,2025-05-10 20:37:24+00:00,34.60702,-98.425763,342.0,93,82,,1.0,1.425534995990321,1.425534995990321,1.8467202193513632,701.4910211343488,11.69154040193985,True,93,34.60702,34.607009,-98.425763,-98.425771,0.011458911248859597,1.425534995990321,2025-05-10 20:37:23+00:00,1.0
9,2025-05-10 20:37:25+00:00,34.607019,-98.42573,342.0,95,84,,1.0,3.022234359392256,3.022234359392256,2.1111884473354756,330.88102413113023,5.514694764886308,True,95,34.607019,34.60702,-98.42573,-98.425763,0.014481145608251852,3.022234359392256,2025-05-10 20:37:24+00:00,1.0
10,2025-05-10 20:37:26+00:00,34.607021,-98.425709,342.0,93,84,,1.0,1.9347615992727223,1.9347615992727223,2.2922336789061,516.8595450601772,8.614342979654454,True,93,34.607021,34.607019,-98.425709,-98.42573,0.016415907207524574,1.9347615992727223,2025-05-10 20:37:25+00:00,1.0
11,2025-05-10 20:37:27+00:00,34.60702,-98.425679,342.0,93,86,,1.0,2.7478762355461352,2.7478762355461352,2.3796249617148044,363.9174090390763,6.065302281231572,True,93,34.60702,34.607021,-98.425679,-98.425709,0.019163783443070712,2.7478762355461352,2025-05-10 20:37:26+00:00,1.0
12,2025-05-10 20:37:28+00:00,34.607029,-98.425656,342.0,93,88,,1.0,2.3307612043290677,2.3307612043290677,2.2327822631540286,429.0443817850743,7.150753997897296,True,93,34.607029,34.60702,-98.425656,-98.425679,0.02149454464739978,2.3307612043290677,2025-05-10 20:37:27+00:00,1.0
13,2025-05-10 20:37:29+00:00,34.607035,-98.425637,341.9,94,88,,1.0,1.8624914100338397,1.8624914100338397,2.0828094482095247,536.91522796437,8.948605029913764,True,94,34.607035,34.607029,-98.425637,-98.425656,0.02335703605743362,1.8624914100338397,2025-05-10 20:37:28+00:00,1.0
14,2025-05-10 20:37:30+00:00,34.607035,-98.425612,341.9,93,90,,1.0,2.28802086658838,2.28802086658838,1.7722253399177839,437.058951079882,7.2843304199630685,True,93,34.607035,34.607035,-98.425612,-98.425637,0.025645056924022,2.28802086658838,2025-05-10 20:37:29+00:00,1.0
15,2025-05-10 20:37:31+00:00,34.607031,-98.4256,341.9,93,90,,1.0,1.1848975245502031,1.1848975245502031,1.433702341906772,843.9548393685844,14.065942121304385,True,93,34.607031,34.607035,-98.4256,-98.425612,0.026829954448572203,1.1848975245502031,2025-05-10 20:37:30+00:00,1.0
16,2025-05-10 20:37:32+00:00,34.607032,-98.425587,341.9,94,92,,1.0,1.194955694087428,1.194955694087428,1.2174917608147244,836.8511108386215,13.94754640901405,True,94,34.607032,34.607031,-98.425587,-98.4256,0.02802491014265963,1.194955694087428,2025-05-10 20:37:31+00:00,1.0
17,2025-05-10 20:37:33+00:00,34.607028,-98.425582,341.9,96,94,,1.0,0.6381462142740096,0.6381462142740096,0.9161752932418062,1567.0389914287202,26.11736875844505,True,96,34.607028,34.607032,-98.425582,-98.425587,0.02866305635693364,0.6381462142740096,2025-05-10 20:37:32+00:00,1.0
18,2025-05-10 20:37:34+00:00,34.607023,-98.425576,341.9,98,96,,1.0,0.7814385045736006,0.7814385045736006,0.8401115535097837,1279.6912286087816,21.32822979985398,True,98,34.607023,34.607028,-98.425576,-98.425582,0.029444494861507242,0.7814385045736006,2025-05-10 20:37:33+00:00,1.0
19,2025-05-10 20:37:35+00:00,34.607018,-98.42557,341.9,99,98,,1.0,0.7814385287237902,0.7814385287237902,0.7717567151705382,1279.6911890601996,21.328229140709627,True,99,34.607018,34.607023,-98.42557,-98.425576,0.03022593339023103,0.7814385287237902,2025-05-10 20:37:34+00:00,1.0
