hr,is_walk,heart_rate
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
184.0,False,184.0
184.0,False,184.0
183.0,False,183.0
183.0,False,183.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
179.0,False,179.0
179.0,False,179.0
179.0,False,179.0
179.0,False,179.0
179.0,False,179.0
179.0,False,179.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
179.0,False,179.0
179.0,False,179.0
179.0,False,179.0
180.0,False,180.0
180.0,False,180.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
182.0,False,182.0
182.0,False,182.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
185.0,False,185.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
184.0,False,184.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
183.0,False,183.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
182.0,False,182.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
180.0,False,180.0
180.0,False,180.0
179.0,False,179.0
179.0,False,179.0
179.0,False,179.0
179.0,False,179.0
178.0,False,178.0
177.0,False,177.0
177.0,False,177.0
176.0,False,176.0
175.0,False,175.0
174.0,False,174.0
173.0,False,173.0
172.0,False,172.0
171.0,False,171.0
170.0,False,170.0
170.0,False,170.0
170.0,False,170.0
170.0,False,170.0
170.0,False,170.0
170.0,False,170.0
170.0,False,170.0
170.0,False,170.0
170.0,False,170.0
168.0,False,168.0
167.0,False,167.0
166.0,False,166.0
165.0,False,165.0
165.0,False,165.0
165.0,False,165.0
165.0,False,165.0
165.0,False,165.0
165.0,False,165.0
165.0,False,165.0
165.0,False,165.0
165.0,False,165.0
165.0,False,165.0
165.0,False,165.0
165.0,False,165.0
164.0,False,164.0
163.0,False,163.0
163.0,False,163.0
163.0,False,163.0
163.0,False,163.0
163.0,False,163.0
163.0,False,163.0
163.0,False,163.0
163.0,False,163.0
163.0,False,163.0
163.0,False,163.0
163.0,False,163.0
163.0,False,163.0
164.0,False,164.0
164.0,False,164.0
167.0,False,167.0
170.0,False,170.0
172.0,False,172.0
173.0,False,173.0
174.0,False,174.0
174.0,False,174.0
175.0,False,175.0
175.0,False,175.0
175.0,False,175.0
176.0,False,176.0
176.0,False,176.0
176.0,False,176.0
177.0,False,177.0
177.0,False,177.0
177.0,False,177.0
177.0,False,177.0
177.0,False,177.0
177.0,False,177.0
177.0,False,177.0
177.0,False,177.0
176.0,False,176.0
176.0,False,176.0
176.0,False,176.0
176.0,False,176.0
175.0,False,175.0
175.0,False,175.0
174.0,False,174.0
174.0,False,174.0
174.0,False,174.0
174.0,False,174.0
174.0,False,174.0
174.0,False,174.0
174.0,False,174.0
174.0,False,174.0
174.0,False,174.0
174.0,False,174.0
174.0,False,174.0
174.0,False,174.0
174.0,False,174.0
175.0,False,175.0
176.0,False,176.0
177.0,False,177.0
177.0,False,177.0
177.0,False,177.0
177.0,False,177.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
177.0,False,177.0
176.0,False,176.0
175.0,False,175.0
175.0,False,175.0
173.0,False,173.0
170.0,False,170.0
169.0,False,169.0
169.0,False,169.0
169.0,False,169.0
169.0,False,169.0
169.0,False,169.0
169.0,False,169.0
169.0,False,169.0
170.0,False,170.0
172.0,False,172.0
174.0,False,174.0
175.0,False,175.0
176.0,False,176.0
177.0,False,177.0
177.0,False,177.0
178.0,False,178.0
178.0,False,178.0
179.0,False,179.0
179.0,False,179.0
179.0,False,179.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
181.0,False,181.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
180.0,False,180.0
179.0,False,179.0
179.0,False,179.0
179.0,False,179.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
177.0,False,177.0
177.0,False,177.0
176.0,False,176.0
176.0,False,176.0
176.0,False,176.0
176.0,False,176.0
176.0,False,176.0
176.0,False,176.0
176.0,False,176.0
176.0,False,176.0
176.0,False,176.0
177.0,False,177.0
177.0,False,177.0
177.0,False,177.0
177.0,False,177.0
177.0,False,177.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
178.0,False,178.0
