,time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km
0,2025-04-29 19:11:20+00:00,34.607123,-98.426097,342.0,,0,,0.0,0.0,0.0,0.0,
1,2025-04-29 19:11:21+00:00,34.607123,-98.426097,342.0,,0,,1.0,0.0,0.0,0.4208496801007825,2376.145325239468
2,2025-04-29 19:13:06+00:00,34.607123,-98.426097,342.0,106.0,0,,105.0,0.0,0.0,0.708724349415679,1410.9858096796995
3,2025-04-29 19:13:07+00:00,34.607137,-98.426104,342.1,,0,,1.0,1.68339872040313,1.68339872040313,1.5409958928709884,648.9309962643227
4,2025-04-29 19:13:08+00:00,34.607122,-98.426095,342.1,,0,,1.0,1.8602230266752644,1.8602230266752644,1.7271893866721442,578.975303876054
5,2025-04-29 19:13:09+00:00,34.607088,-98.426076,342.1,106.0,0,,1.0,4.161357717276547,4.161357717276547,1.8383843133519977,543.9559034186171
6,2025-04-29 19:13:10+00:00,34.60708,-98.426079,342.1,107.0,0,,1.0,0.9309674690057789,0.9309674690057789,2.0177981153460443,495.5897185127978
7,2025-04-29 19:13:11+00:00,34.607075,-98.426079,342.1,107.0,0,,1.0,0.5559746333992677,0.5559746333992677,2.17050862359683,460.72150514788694
8,2025-04-29 19:13:12+00:00,34.607054,-98.426067,342.1,,51,,1.0,2.5804677303733627,2.5804677303733627,1.7481709039364546,572.0264521896822
9,2025-04-29 19:13:13+00:00,34.607035,-98.42605,342.1,,53,,1.0,2.6237755679291945,2.6237755679291945,1.993711928895977,501.5769758441243
10,2025-04-29 19:13:14+00:00,34.607023,-98.426033,342.1,110.0,55,,1.0,2.0496691189746694,2.0496691189746694,2.3486874057247196,425.7697288973355
11,2025-04-29 19:13:15+00:00,34.607016,-98.426011,342.1,,55,,1.0,2.1586725938033906,2.1586725938033906,2.2987461783598544,435.0197552969923
12,2025-04-29 19:13:16+00:00,34.607012,-98.425986,342.1,,55,,1.0,2.330852017542981,2.330852017542981,2.1636341484317385,462.1853471506851
13,2025-04-29 19:13:17+00:00,34.607003,-98.425963,342.1,,55,,1.0,2.3307615935490364,2.3307615935490364,2.1605891415801026,462.83672390793856
14,2025-04-29 19:13:18+00:00,34.606997,-98.425943,342.1,,55,,1.0,1.948215418288616,1.948215418288616,2.21221356811603,452.0359220342465
15,2025-04-29 19:13:19+00:00,34.606991,-98.425922,342.1,,55,,1.0,2.0344440847164877,2.0344440847164877,2.212213741200376,452.0358866668042
16,2025-04-29 19:13:20+00:00,34.606984,-98.425897,342.1,,55,,1.0,2.4167947264830296,2.4167947264830296,2.3134909732718114,432.24720197882107
17,2025-04-29 19:13:21+00:00,34.60698,-98.425872,342.1,,56,,1.0,2.330852882964709,2.330852882964709,2.6951194490955617,371.04106845267427
18,2025-04-29 19:13:22+00:00,34.60698,-98.425841,342.1,,57,,1.0,2.8371477539062147,2.8371477539062147,2.9707760174011577,336.6123848255657
19,2025-04-29 19:13:23+00:00,34.606988,-98.4258,342.1,,59,,1.0,3.856357797407367,3.856357797407367,3.2526136020294487,307.44506490904917
20,2025-04-29 19:13:24+00:00,34.606996,-98.425764,342.0,,61,,1.0,3.4127269262444693,3.4127269262444693,3.5808457803554945,279.2636324876084
21,2025-04-29 19:13:25+00:00,34.607006,-98.425724,342.0,108.0,66,,1.0,3.8259826496244855,3.8259826496244855,3.7313676440485573,267.99825034527925
22,2025-04-29 19:13:26+00:00,34.607015,-98.425682,342.0,109.0,69,,1.0,3.972013774594936,3.972013774594936,3.6613197903198325,273.1255550645702
23,2025-04-29 19:13:27+00:00,34.607023,-98.425644,341.9,,75,,1.0,3.5897570723715293,3.5897570723715293,3.6593068760136687,273.275796177381
24,2025-04-29 19:13:28+00:00,34.607027,-98.425606,341.9,111.0,78,,1.0,3.506118528763742,3.506118528763742,3.553060395408586,281.44750967144887
25,2025-04-29 19:13:29+00:00,34.60703,-98.425569,341.9,111.0,81,,1.0,3.4026623547136507,3.4026623547136507,3.3825867139341086,295.6317411999034
26,2025-04-29 19:13:30+00:00,34.60703,-98.425533,341.9,111.0,83,,1.0,3.294750246599073,3.294750246599073,3.2359732316149845,309.0260420667719
