time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,zone_hr,zone_pace,zone_effective,pace_min_per_km,is_walk,planning_id,heart_rate,latitude,longitude,distance_cumulative_km,distance_segment_m,lat_prev,lon_prev,time_prev,time_delta_s
2025-09-07 00:29:21+00:00,34.608263,-98.42509,342.4,96,154,,1.0,0.0,0.0,0.0,,Z1 (Recovery),,Z1 (Recovery),,False,2025w36-Sat,96,34.608263,-98.42509,0.0,0.0,34.608263,-98.42509,2025-09-07 00:29:20+00:00,1.0
2025-09-07 00:29:22+00:00,34.608263,-98.42509,342.4,98,152,,1.0,0.0,0.0,0.0,,Z1 (Recovery),,Z1 (Recovery),,False,2025w36-Sat,98,34.608263,-98.42509,0.0,0.0,34.608263,-98.42509,2025-09-07 00:29:21+00:00,1.0
2025-09-07 00:29:23+00:00,34.608263,-98.42509,342.4,100,152,,1.0,0.0,0.0,0.0,,Z1 (Recovery),,Z1 (Recovery),,False,2025w36-Sat,100,34.608263,-98.42509,0.0,0.0,34.608263,-98.42509,2025-09-07 00:29:22+00:00,1.0
2025-09-07 00:29:24+00:00,34.608263,-98.42509,342.4,101,152,,1.0,0.0,0.0,0.0,,Z1 (Recovery),,Z1 (Recovery),,False,2025w36-Sat,101,34.608263,-98.42509,0.0,0.0,34.608263,-98.42509,2025-09-07 00:29:23+00:00,1.0
2025-09-07 00:29:25+00:00,34.608263,-98.42509,342.4,105,152,,1.0,0.0,0.0,0.0,,Z1 (Recovery),,Z1 (Recovery),,False,2025w36-Sat,105,34.608263,-98.42509,0.0,0.0,34.608263,-98.42509,2025-09-07 00:29:24+00:00,1.0
2025-09-07 00:29:26+00:00,34.608263,-98.42509,342.4,102,152,,1.0,0.0,0.0,0.0,,Z1 (Recovery),,Z1 (Recovery),,False,2025w36-Sat,102,34.608263,-98.42509,0.0,0.0,34.608263,-98.42509,2025-09-07 00:29:25+00:00,1.0
2025-09-07 00:29:27+00:00,34.608263,-98.42509,342.4,103,152,,1.0,0.0,0.0,0.0,,Z1 (Recovery),,Z1 (Recovery),,False,2025w36-Sat,103,34.608263,-98.42509,0.0,0.0,34.608263,-98.42509,2025-09-07 00:29:26+00:00,1.0
2025-09-07 00:29:28+00:00,34.608263,-98.42509,342.4,104,152,,1.0,0.0,0.0,0.0,,Z1 (Recovery),,Z1 (Recovery),,False,2025w36-Sat,104,34.608263,-98.42509,0.0,0.0,34.608263,-98.42509,2025-09-07 00:29:27+00:00,1.0
2025-09-07 00:29:29+00:00,34.608263,-98.42509,342.4,104,152,,1.0,0.0,0.0,0.0,,Z1 (Recovery),,Z1 (Recovery),,False,2025w36-Sat,104,34.608263,-98.42509,0.0,0.0,34.608263,-98.42509,2025-09-07 00:29:28+00:00,1.0
2025-09-07 00:29:30+00:00,34.608263,-98.42509,342.4,106,154,,1.0,0.0,0.0,0.0,,Z1 (Recovery),,Z1 (Recovery),,False,2025w36-Sat,106,34.608263,-98.42509,0.0,0.0,34.608263,-98.42509,2025-09-07 00:29:29+00:00,1.0
