category,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Activity,Body,Body,Heart,Heart,Heart,Heart,Heart + Lungs,Heart + Lungs,Metabolism,Metabolism,Metabolism,Recovery,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Length,Sleep Quality,Sleep Vitals,Sleep Vitals
name,Active Time,Activity Distance,Avg Stress Level,High Intensity Activity,Low Intensity Activity,MET Min High Intensity,MET Min Medium Intensity,Max Stress Level,Medium Intensity Activity,Steps,Time Resting,Total Activity,Fitness Age,Weight,Avg Heart Rate,Max Heart Rate,Min Heart Rate,Resting Heart Rate,Blood Oxygenation,VO₂ Max,Active Calories Burned,Resting Calories Burned,Total Calories Burned,Body Battery,Deep Sleep,Deep Sleep Percent,Light Sleep,Light Sleep Percent,REM Sleep,REM Sleep Percent,Sleep End Time,Sleep Start Time,Time Awake,Time in Bed,Total Sleep,Time Awake Percent,Sleep Blood Oxygenation,Sleep Respiratory Rate
units,Minutes,Miles,%,Minutes,Minutes,Minutes,Minutes,%,Minutes,Steps,Minutes,Minutes,Years,Pounds,Beats / min,Beats / min,Beats / min,Beats / min,%,mL/kg/min,Calories,Calories,Calories,%,Hours,%,Hours,%,Hours,%,24-hour time,24-hour time,Hours,Hours,Hours,%,%,Breaths / min
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-11,81.7,4.812519883878151,57,144.0,76.0,34.0,2.0,97,150.0,6622,91.0,370.0,20,,91,184,55,59,,55.0,643,2095,2738.0,29.393034825870647,,,,,,,,,,,,,,
2023-12-12,48.5,0.9550475224687823,32,11.0,423.0,0.0,0.0,87,241.0,1877,703.0,675.0,,,71,104,55,56,,,70,2095,2165.0,21.489583333333332,0.0,0.0,5.066666666666666,70.53364269141531,2.1166666666666667,29.466357308584683,10.866666666666667,3.6833333333333336,0.1,7.183333333333334,7.183333333333334,1.3921113689095126,,15.98125290023202
2023-12-13,69.53333333333333,1.1619641294838146,25,43.0,334.0,4.0,1.0,99,86.0,2197,890.0,463.0,,,70,131,54,57,,,219,2095,2314.0,52.56458333333333,0.7833333333333333,9.494949494949495,5.783333333333333,70.1010101010101,1.6833333333333333,20.404040404040405,12.733333333333333,4.483333333333333,0.0,8.25,8.25,0.0,,15.070485829959516
2023-12-14,62.416666666666664,1.159478644714865,33,77.0,364.0,8.0,2.0,99,202.0,2265,697.0,643.0,,,72,140,51,58,,,256,2095,2351.0,47.81458333333333,0.8833333333333333,11.08786610878661,5.133333333333334,64.43514644351464,1.95,24.476987447698743,11.383333333333333,3.4166666666666665,0.06666666666666667,7.966666666666667,7.966666666666667,0.8368200836820083,,16.920749999999998
2023-12-15,27.75,0.5387288236697685,25,31.0,305.0,0.0,0.0,97,102.0,1039,962.0,438.0,,,68,111,53,55,,,52,2095,2147.0,62.7,0.5,3.95778364116095,8.55,67.67810026385224,3.5833333333333335,28.36411609498681,11.233333333333333,-1.3999999999999986,0.5666666666666667,12.633333333333333,12.633333333333333,4.485488126649076,,14.771024643320343
2023-12-16,28.5,0.6275849041597072,25,12.0,299.0,0.0,0.0,91,127.0,1202,910.0,438.0,,,65,106,49,52,,,36,2095,2131.0,72.87366167023555,1.3666666666666667,12.005856515373353,6.8,59.73645680819912,3.216666666666667,28.257686676427525,8.533333333333333,-2.8500000000000014,0.03333333333333333,11.383333333333333,11.383333333333333,0.29282576866764276,,15.696900311526473
2023-12-17,58.9,1.064408852302553,29,31.0,409.0,0.0,0.0,96,120.0,2066,673.0,560.0,,,70,114,50,54,,,91,1930,2021.0,22.790067720090292,0.0,0.0,2.433333333333333,88.48484848484848,0.31666666666666665,11.515151515151516,1.55,-1.1999999999999993,0.016666666666666666,2.75,2.75,0.6060606060606061,,14.047743902439027
2023-12-18,58.95,3.4156774437286246,54,68.0,58.0,29.0,2.0,92,99.0,5208,62.0,225.0,20,,88,189,53,59,,54.0,432,2095,2527.0,19.078740157480315,,,,,,,,,,,,,,
2023-12-19,7.0,0.11308955698719478,23,5.0,179.0,0.0,0.0,84,67.0,222,574.0,251.0,,,65,100,49,54,,,8,2095,2103.0,41.24912280701754,0.16666666666666666,1.1534025374855825,9.583333333333334,66.32064590542099,4.7,32.52595155709342,12.933333333333334,-1.5166666666666657,0.3333333333333333,14.45,14.45,2.306805074971165,,14.997890535917904
2023-12-20,67.03333333333333,4.78269406665076,30,4.0,60.0,49.0,1.0,90,13.0,8138,95.0,77.0,20,,92,173,55,59,,54.0,553,2095,2648.0,17.9,,,,,,,,,,,,,,
