,time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,pace_min_per_km,is_walk,heart_rate,latitude,lat_prev,longitude,lon_prev,distance_cumulative_km,distance_segment_m,time_prev,time_delta_s
0,2025-06-05 18:08:18+00:00,34.607261,-98.425992,342.1,95,90,,0.0,0.0,7.403265511429865,6.4073269862175986,135.0755282862819,2.2512633072889745,True,95,34.607261,,-98.425992,,0.0,0.0,,
1,2025-06-05 18:08:19+00:00,34.60721,-98.426044,342.1,95,90,,1.0,7.403265511429865,7.403265511429865,6.2785382039818725,135.0755282862819,2.2512633072889745,True,95,34.60721,34.607261,-98.426044,-98.425992,0.007403265511429865,7.403265511429865,2025-06-05 18:08:18+00:00,1.0
2,2025-06-05 18:08:20+00:00,34.607206,-98.426092,342.0,93,92,,1.0,4.415449935793067,4.415449935793067,8.937063176419334,226.47748576961007,3.77463231207636,True,93,34.607206,34.60721,-98.426092,-98.426044,0.011818715447222931,4.415449935793067,2025-06-05 18:08:19+00:00,1.0
3,2025-06-05 18:08:21+00:00,34.607183,-98.42615,342.0,94,92,,1.0,5.892171857274692,5.892171857274692,8.435285358641595,169.71670620322507,2.8286174272772913,True,94,34.607183,34.607206,-98.42615,-98.426092,0.017710887304497627,5.892171857274692,2025-06-05 18:08:20+00:00,1.0
4,2025-06-05 18:08:22+00:00,34.607007,-98.426152,342.0,95,92,,1.0,19.571163066169188,19.571163066169188,7.2339757038802786,51.09558367170345,0.8515947643811799,True,95,34.607007,34.607183,-98.426152,-98.42615,0.03728205037066681,19.571163066169188,2025-06-05 18:08:21+00:00,1.0
5,2025-06-05 18:08:23+00:00,34.606965,-98.426168,342.0,95,92,,1.0,4.894376422541161,4.894376422541161,6.701497835621096,204.31611990334,3.4052754755929966,True,95,34.606965,34.607007,-98.426168,-98.426152,0.04217642679320797,4.894376422541161,2025-06-05 18:08:22+00:00,1.0
6,2025-06-05 18:08:24+00:00,34.60696,-98.426182,342.0,96,96,,1.0,1.396717237623283,1.396717237623283,5.997022802419961,715.9645295862783,11.932766025255624,True,96,34.60696,34.606965,-98.426182,-98.426168,0.04357314403083125,1.396717237623283,2025-06-05 18:08:23+00:00,1.0
7,2025-06-05 18:08:25+00:00,34.606962,-98.426201,342.0,97,98,,1.0,1.753060594497154,1.753060594497154,2.548960819652134,570.430938405092,9.507201321116145,True,97,34.606962,34.60696,-98.426201,-98.426182,0.04532620462532841,1.753060594497154,2025-06-05 18:08:24+00:00,1.0
8,2025-06-05 18:08:26+00:00,34.60697,-98.426225,342.0,97,110,,1.0,2.3697966912690234,2.3697966912690234,1.9570380711344353,421.9771272718341,7.032966187101477,True,97,34.60697,34.606962,-98.426225,-98.426201,0.04769600131659743,2.3697966912690234,2025-06-05 18:08:25+00:00,1.0
9,2025-06-05 18:08:27+00:00,34.606974,-98.42625,342.1,98,114,,1.0,2.330853152330048,2.330853152330048,2.101033802053012,429.02745674919305,7.150471913401776,True,98,34.606974,34.60697,-98.42625,-98.426225,0.05002685446892748,2.330853152330048,2025-06-05 18:08:26+00:00,1.0
10,2025-06-05 18:08:28+00:00,34.606972,-98.426271,342.1,99,120,,1.0,1.9347626799526687,1.9347626799526687,2.228404305797984,516.8592563634024,8.614338168031919,True,99,34.606972,34.606974,-98.426271,-98.42625,0.05196161714888015,1.9347626799526687,2025-06-05 18:08:27+00:00,1.0
11,2025-06-05 18:08:29+00:00,34.60697,-98.426294,342.1,98,126,,1.0,2.1166958922161676,2.1166958922161676,2.253140800798606,472.4344218162611,7.873922778085078,True,98,34.60697,34.606972,-98.426294,-98.426271,0.054078313041096324,2.1166958922161676,2025-06-05 18:08:28+00:00,1.0
12,2025-06-05 18:08:30+00:00,34.606972,-98.42632,342.2,99,140,,1.0,2.3899131132220126,2.3899131132220126,2.2351866037875636,418.4252533983667,6.973768170814557,False,99,34.606972,34.60697,-98.42632,-98.426294,0.05646822615431834,2.3899131132220126,2025-06-05 18:08:29+00:00,1.0
13,2025-06-05 18:08:31+00:00,34.606969,-98.426347,342.2,102,148,,1.0,2.4934791662721314,2.4934791662721314,2.3469299423407888,401.0460618746805,6.684114399446737,False,102,34.606969,34.606972,-98.426347,-98.42632,0.05896170532059047,2.4934791662721314,2025-06-05 18:08:30+00:00,1.0
14,2025-06-05 18:08:32+00:00,34.606965,-98.426371,342.3,101,152,,1.0,2.2410821672748393,2.2410821672748393,2.353882478312457,446.2130012912477,7.436898228620837,False,101,34.606965,34.606969,-98.426371,-98.426347,0.061202787487865305,2.2410821672748393,2025-06-05 18:08:31+00:00,1.0
15,2025-06-05 18:08:33+00:00,34.606962,-98.426398,342.3,107,154,,1.0,2.493479372718792,2.493479372718792,2.282788781698531,401.04602867022686,6.68411384603807,False,107,34.606962,34.606965,-98.426398,-98.426371,0.0636962668605841,2.493479372718792,2025-06-05 18:08:32+00:00,1.0
16,2025-06-05 18:08:34+00:00,34.606966,-98.426421,342.4,111,154,,1.0,2.151458572074508,2.151458572074508,2.2143846132849236,464.80095549121665,7.74669808488546,False,111,34.606966,34.606962,-98.426421,-98.426398,0.06584772543265861,2.151458572074508,2025-06-05 18:08:33+00:00,1.0
17,2025-06-05 18:08:35+00:00,34.606972,-98.426442,342.4,112,154,,1.0,2.034444630152382,2.034444630152382,2.178568428785082,491.5346356342463,8.192260311725292,False,112,34.606972,34.606966,-98.426442,-98.426421,0.06788217006281098,2.034444630152382,2025-06-05 18:08:34+00:00,1.0
