,time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,pace_min_per_km,is_walk,heart_rate,latitude,lat_prev,longitude,lon_prev,distance_cumulative_km,distance_segment_m,time_prev,time_delta_s
0,2025-05-01 16:42:45+00:00,34.607032,-98.425608,341.9,84,102,,0.0,0.0,5.692430128865408,5.551243311759585,175.67189712688065,2.927870807844582,True,84,34.607032,,-98.425608,,0.0,0.0,,
1,2025-05-01 16:42:46+00:00,34.607042,-98.425669,342.0,84,104,,1.0,5.692430128865408,5.692430128865408,5.467430029772958,175.67189712688065,2.927870807844582,True,84,34.607042,34.607032,-98.425669,-98.425608,0.005692430128865408,5.692430128865408,2025-05-01 16:42:45+00:00,1.0
2,2025-05-01 16:42:47+00:00,34.607056,-98.425724,342.1,84,104,,1.0,5.26886967754794,5.26886967754794,5.333729524846672,189.79402816912835,3.1632401292864114,True,84,34.607056,34.607042,-98.425724,-98.425669,0.010961299806413347,5.26886967754794,2025-05-01 16:42:46+00:00,1.0
3,2025-05-01 16:42:48+00:00,34.607071,-98.425778,342.1,84,104,,1.0,5.215990183813076,5.215990183813076,4.925488681871334,191.71815221265697,3.1953089274826896,True,84,34.607071,34.607056,-98.425778,-98.425724,0.016177289990226423,5.215990183813076,2025-05-01 16:42:47+00:00,1.0
4,2025-05-01 16:42:49+00:00,34.607084,-98.425828,342.1,84,104,,1.0,4.798927505141526,4.798927505141526,4.446327360152547,208.37989299246746,3.4730051625375573,True,84,34.607084,34.607071,-98.425828,-98.425778,0.020976217495367946,4.798927505141526,2025-05-01 16:42:48+00:00,1.0
5,2025-05-01 16:42:50+00:00,34.607094,-98.425866,342.1,83,104,,1.0,3.6512259139887226,3.6512259139887226,3.9457161512049184,273.8806153212158,4.564686051374108,True,83,34.607094,34.607084,-98.425866,-98.425828,0.02462744340935667,3.6512259139887226,2025-05-01 16:42:49+00:00,1.0
6,2025-05-01 16:42:51+00:00,34.607095,-98.425902,342.1,83,104,,1.0,3.2966235202714746,3.2966235202714746,3.4987122179503674,303.34067382909734,5.055688008507416,True,83,34.607095,34.607094,-98.425902,-98.425866,0.027924066929628143,3.2966235202714746,2025-05-01 16:42:50+00:00,1.0
7,2025-05-01 16:42:52+00:00,34.607092,-98.425932,342.1,85,104,,1.0,2.7658136328097953,2.7658136328097953,3.23590525441326,361.55726045217955,6.02596639277834,True,85,34.607092,34.607095,-98.425932,-98.425902,0.03068988056243794,2.7658136328097953,2025-05-01 16:42:51+00:00,1.0
8,2025-05-01 16:42:53+00:00,34.607087,-98.425964,342.1,84,104,,1.0,2.9809705175403156,2.9809705175403156,3.036480567541973,335.4612177865914,5.591031478483783,True,84,34.607087,34.607092,-98.425964,-98.425932,0.033670851079978255,2.9809705175403156,2025-05-01 16:42:52+00:00,1.0
9,2025-05-01 16:42:54+00:00,34.607089,-98.426002,342.1,85,104,,1.0,3.4848926874559933,3.4848926874559933,2.816455584478642,286.9528819637801,4.782557597825733,True,85,34.607089,34.607087,-98.426002,-98.425964,0.03715574376743425,3.4848926874559933,2025-05-01 16:42:53+00:00,1.0
10,2025-05-01 16:42:55+00:00,34.607089,-98.426031,342.1,85,102,,1.0,2.6541024796322876,2.6541024796322876,2.7208967336346275,376.7752027941833,6.279599272409815,True,85,34.607089,34.607089,-98.426031,-98.426002,0.03980984624706654,2.6541024796322876,2025-05-01 16:42:54+00:00,1.0
11,2025-05-01 16:42:56+00:00,34.607089,-98.426055,342.1,86,102,,1.0,2.196498604954817,2.196498604954817,2.511654628057807,455.27003647724626,7.5878491169553195,True,86,34.607089,34.607089,-98.426055,-98.426031,0.04200634485202136,2.196498604954817,2025-05-01 16:42:55+00:00,1.0
12,2025-05-01 16:42:57+00:00,34.607089,-98.42608,342.1,86,102,,1.0,2.2880193785897225,2.2880193785897225,2.163165348727608,437.0592353183542,7.284335157280413,True,86,34.607089,34.607089,-98.42608,-98.426055,0.04429436423061108,2.2880193785897225,2025-05-01 16:42:56+00:00,1.0
13,2025-05-01 16:42:58+00:00,34.607091,-98.426101,342.0,86,102,,1.0,1.9347599896562155,1.9347599896562155,2.1705674509574058,516.8599750595879,8.614350146325632,True,86,34.607091,34.607089,-98.426101,-98.42608,0.046229124220267294,1.9347599896562155,2025-05-01 16:42:57+00:00,1.0
14,2025-05-01 16:42:59+00:00,34.60709,-98.42612,342.0,87,102,,1.0,1.742446290804997,1.742446290804997,2.2457104526437073,573.9057813586941,9.565115486170946,True,87,34.60709,34.607091,-98.42612,-98.426101,0.047971570511072294,1.742446290804997,2025-05-01 16:42:58+00:00,1.0
15,2025-05-01 16:43:00+00:00,34.607086,-98.426149,342.0,89,104,,1.0,2.6911129907812765,2.6911129907812765,2.2096891406694787,371.5934646466415,6.19323679722618,True,89,34.607086,34.60709,-98.426149,-98.42612,0.05066268350185357,2.6911129907812765,2025-05-01 16:42:59+00:00,1.0
16,2025-05-01 16:43:01+00:00,34.607084,-98.426177,342.0,90,104,,1.0,2.572213613386325,2.572213613386325,2.1189618404248125,388.7701996427497,6.479516286385815,True,90,34.607084,34.607086,-98.426177,-98.426149,0.0532348971152399,2.572213613386325,2025-05-01 16:43:00+00:00,1.0
17,2025-05-01 16:43:02+00:00,34.607085,-98.4262,342.0,91,104,,1.0,2.107912818718581,2.107912818718581,2.266682207594598,474.40292175266944,7.9067311759752155,True,91,34.607085,34.607084,-98.4262,-98.426177,0.05534280993395848,2.107912818718581,2025-05-01 16:43:01+00:00,1.0
18,2025-05-01 16:43:03+00:00,34.607087,-98.426216,342.0,92,104,,1.0,1.4811234884328832,1.4811234884328832,2.441225292199467,675.1631500072012,11.25274167222502,True,92,34.607087,34.607085,-98.426216,-98.4262,0.056823933422391365,1.4811234884328832,2025-05-01 16:43:02+00:00,1.0
19,2025-05-01 16:43:04+00:00,34.607085,-98.426243,342.0,93,104,,1.0,2.4810481266539246,2.4810481266539246,2.204924221427194,403.0554624301682,6.717604475684883,True,93,34.607085,34.607087,-98.426243,-98.426216,0.05930498154904529,2.4810481266539246,2025-05-01 16:43:03+00:00,1.0
