,time,lat,lon,ele,hr,cadence,power,dt,dist,speed_mps,speed_mps_smooth,pace_sec_km,pace_min_per_km,is_walk,heart_rate,latitude,lat_prev,longitude,lon_prev,distance_cumulative_km,distance_segment_m,time_prev,time_delta_s
0,2025-05-14 17:47:26+00:00,34.607095,-98.426164,342.0,109,0,,0.0,0.0,0.8566774360059595,0.6671283878181272,1167.300500713834,19.455047255247255,True,109,34.607095,,-98.426164,,0.0,0.0,,
1,2025-05-14 17:47:27+00:00,34.607099,-98.426172,342.0,109,0,,1.0,0.8566774360059595,0.8566774360059595,0.7792736137872085,1167.300500713834,19.455047255247255,True,109,34.607099,34.607095,-98.426172,-98.426164,0.0008566774360059594,0.8566774360059595,2025-05-14 17:47:26+00:00,1.0
2,2025-05-14 17:47:28+00:00,34.607097,-98.426174,342.0,109,0,,1.0,0.2880302914424628,0.2880302914424628,0.8575511640208274,3471.857057089292,57.8644000133901,True,109,34.607097,34.607099,-98.426174,-98.426172,0.0011447077274484223,0.2880302914424628,2025-05-14 17:47:27+00:00,1.0
3,2025-05-14 17:47:29+00:00,34.607087,-98.426173,342.0,109,0,,1.0,1.1157092916944524,1.1157092916944524,0.7438217411068333,896.2908236439241,14.93821027042619,True,109,34.607087,34.607097,-98.426173,-98.426174,0.0022604170191428746,1.1157092916944524,2025-05-14 17:47:28+00:00,1.0
4,2025-05-14 17:47:30+00:00,34.607077,-98.426169,342.0,108,0,,1.0,1.170661364955303,1.170661364955303,0.7025310180187972,854.2179915864747,14.236995000374296,True,108,34.607077,34.607087,-98.426169,-98.426173,0.0034310783840981775,1.170661364955303,2025-05-14 17:47:29+00:00,1.0
5,2025-05-14 17:47:31+00:00,34.607075,-98.426167,342.0,108,0,,1.0,0.28803032143598895,0.28803032143598895,0.8870002009139935,3471.8566955536216,57.86439398778354,True,108,34.607075,34.607077,-98.426167,-98.426169,0.0037191087055341663,0.28803032143598895,2025-05-14 17:47:30+00:00,1.0
6,2025-05-14 17:47:32+00:00,34.607074,-98.426174,342.0,108,98,,1.0,0.6502238205657788,0.6502238205657788,0.9008377468984865,1537.931967995068,25.632250730983394,True,108,34.607074,34.607075,-98.426174,-98.426167,0.004369332526099945,0.6502238205657788,2025-05-14 17:47:31+00:00,1.0
7,2025-05-14 17:47:33+00:00,34.607076,-98.426187,342.0,109,100,,1.0,1.2103762059184433,1.2103762059184433,0.9629302239008576,826.1894071531189,13.769850992198885,True,109,34.607076,34.607074,-98.426187,-98.426174,0.005579708732018388,1.2103762059184433,2025-05-14 17:47:32+00:00,1.0
8,2025-05-14 17:47:34+00:00,34.607072,-98.426199,342.0,109,102,,1.0,1.1848970216169175,1.1848970216169175,1.2532627574883386,843.9551975878833,14.065948091637974,True,109,34.607072,34.607076,-98.426199,-98.426187,0.006764605753635306,1.1848970216169175,2025-05-14 17:47:33+00:00,1.0
9,2025-05-14 17:47:35+00:00,34.60707,-98.426215,342.0,109,104,,1.0,1.481123749967159,1.481123749967159,1.4709506835413408,675.1630307880574,11.252739685235316,True,109,34.60707,34.607072,-98.426215,-98.426199,0.008245729503602466,1.481123749967159,2025-05-14 17:47:34+00:00,1.0
10,2025-05-14 17:47:36+00:00,34.607063,-98.426232,342.0,109,104,,1.0,1.7396929893733935,1.7396929893733935,1.4851337086302212,574.8140655324376,9.580253586009476,True,109,34.607063,34.60707,-98.426232,-98.426215,0.009985422492975859,1.7396929893733935,2025-05-14 17:47:35+00:00,1.0
